id,interest_rate,internal_rating,maturity,dti_ratio,risk_free,yearly_payment
661,25.99,E,5,40,1.72,4898.4
662,8.46,A,3,22,1.72,2014.32
663,30.28,HR,3,26,1.72,3884.04
664,25.62,E,3,39,1.72,5273.64
665,17.61,D,5,32,1.72,6174.36
666,11.03,B,3,51,1.72,4226.64
667,18.81,C,3,48,1.72,6672
668,17.61,D,3,41,1.72,8644.08
669,8.42,A,5,40,1.72,7678.92
670,6.12,AA,3,43,1.72,6681.36
671,6.9,A,3,18,1.72,3544.08
672,7.6,A,3,20,1.72,7587.36
673,18.99,C,5,41,1.72,8900.04
674,8.74,A,3,14,1.72,4436.04
675,5.9,AA,3,32,1.72,5549.64
676,24.99,D,3,31,1.72,5388.24
677,25.62,E,5,23,1.72,2437.32
678,4.32,AA,3,27,1.72,3613.8
679,19.99,D,3,8,1.72,973.68
680,6.66,A,3,16,1.72,2619.12
681,6.91,A,5,13,1.72,2628.72
682,7.2,A,5,26,1.72,2640
683,10.25,B,3,14,1.72,7885.68
684,22.99,D,3,30,1.72,10026.6
685,22.05,D,3,35,1.72,4648.32
686,15.73,C,3,18,1.72,4447.32
687,20.66,D,5,20,1.72,3649.44
688,21.42,D,3,22,1.72,4608.96
689,22.99,D,3,18,1.72,5177.16
690,6.9,A,3,38,1.72,5632.2
691,6.51,AA,3,28,1.72,7466.64
692,8.38,A,3,37,1.72,2877.96
693,30.25,HR,3,25,1.72,3105.96
694,9.47,B,5,19,1.72,3898.56
695,7.51,A,3,30,1.72,5682.96
696,10.2,B,3,34,1.72,1497.24
697,11.64,B,3,31,1.72,4035.6
698,25.59,E,3,37,1.72,7308.96
699,6.66,A,3,34,1.72,6360.72
700,12.19,B,5,1,1.72,5484.12
701,23.74,D,3,15,1.72,2615.04
702,12.35,B,5,14,1.72,2751.96
703,11.64,B,3,36,1.72,8849.52
704,29.49,E,5,25,1.72,3918.6
705,18.47,D,3,40,1.72,7860
706,22.44,E,5,19,1.72,1023.96
707,24.74,D,5,27,1.72,4467.96
708,19.91,D,5,37,1.72,6480.72
709,22.12,D,3,45,1.72,11585.64
710,16.97,C,3,35,1.72,1218.12
711,17.6,C,3,23,1.72,3703.8
712,18.28,D,3,22,1.72,1545.48
713,6.49,A,3,33,1.72,2724.48
714,13.64,C,3,38,1.72,10346.76
715,5.98,AA,3,19,1.72,5556.24
716,17.43,C,5,55,1.72,6150.72
717,13.64,C,3,30,1.72,5097.84
718,22.99,D,3,31,1.72,2346.96
719,5.9,AA,3,34,1.72,12949.2
720,10.3,B,3,23,1.72,3945.72
721,13.69,C,3,31,1.72,3106.2
722,22.05,D,3,19,1.72,3386.28
723,14.45,C,3,34,1.72,11721.72
724,10.06,B,3,20,1.72,1966.08
725,5.9,AA,3,34,1.72,1479.96
726,30.92,HR,3,44,1.72,3915.96
727,6.51,AA,3,28,1.72,3173.28
728,30.53,HR,3,50,1.72,3896.4
729,10.9,B,3,50,1.72,7959.96
730,11.64,B,5,13,1.72,12067.44
731,12.15,B,3,19,1.72,821.88
732,26.99,E,3,19,1.72,6451.92
733,5.9,AA,3,29,1.72,3699.72
734,5.6,AA,3,22,1.72,6519.48
735,9.09,A,3,22,1.72,3877.08
736,13.8,C,5,21,1.72,5115.96
737,15.72,C,3,26,1.72,1778.52
738,16.22,C,5,43,1.72,4494.84
739,11.03,B,3,16,1.72,2193.12
740,6.91,A,3,13,1.72,3755.4
741,7.32,A,3,15,1.72,1511.28
742,19.95,D,3,25,1.72,2936.64
743,5.76,AA,5,9,1.72,4393.56
744,9.1,B,3,21,1.72,11633.04
745,8.06,A,3,42,1.72,4583.16
746,11.36,B,3,18,1.72,3498.6
747,11.36,B,5,29,1.72,4006.44
748,27.71,E,3,34,1.72,3787.92
749,22.44,E,5,30,1.72,3270.96
750,25.99,E,3,21,1.72,1714.44
751,7.51,A,3,13,1.72,3599.28
752,18.73,D,3,32,1.72,2665.92
753,23.21,E,3,37,1.72,3540.84
754,16.61,C,5,22,1.72,2588.88
755,4.32,AA,5,8,1.72,4137.72
756,6.74,A,3,39,1.72,2622.24
757,23.99,D,5,23,1.72,3521.4
758,5.3,AA,5,24,1.72,2750.28
759,25.99,E,3,38,1.72,2930.76
760,10.2,B,3,39,1.72,1310.52
761,19.99,D,5,45,1.72,6780.6
762,16.55,C,3,45,1.72,4526.88
763,14.72,C,3,31,1.72,8121
764,8.42,A,3,17,1.72,1535.76
765,6.74,A,3,28,1.72,3371.4
766,12.99,C,5,34,1.72,4466.52
767,11.1,B,3,17,1.72,9363.96
768,19.91,D,3,18,1.72,8100.84
769,5.44,AA,3,22,1.72,6798
770,6.66,A,5,20,1.72,4714.32
771,9.09,A,3,26,1.72,6978.84
772,30.92,HR,3,32,1.72,3915.96
773,13.64,C,3,41,1.72,1655.52
774,27.15,E,3,30,1.72,3747.12
775,19.91,D,5,19,1.72,8100.84
776,8.66,A,5,14,1.72,13485.24
777,5,AA,3,23,1.72,6571.08
778,9.87,B,5,36,1.72,3725.16
779,14.45,C,3,18,1.72,3459.84
780,14.97,C,5,18,1.72,2916.24
781,19.13,D,5,40,1.72,5738.28
782,6.91,A,3,24,1.72,5633.04
783,23.74,D,5,47,1.72,5705.64
784,24.55,E,3,16,1.72,2403.12
785,23.74,D,5,23,1.72,10511.64
786,7.51,A,3,28,1.72,7198.44
787,12.71,C,3,21,1.72,4161.24
788,6.74,A,5,19,1.72,4495.2
789,17.08,C,5,42,1.72,4578.6
790,20.66,D,3,16,1.72,2508.96
791,24.99,D,3,39,1.72,7251.36
792,24.74,D,3,53,1.72,10118.4
793,19.99,D,5,13,1.72,3245.76
794,8.06,A,3,36,1.72,4583.16
795,8.7,A,3,22,1.72,13493.16
796,15.4,C,5,31,1.72,6363.84
797,30.92,HR,3,37,1.72,3915.96
798,9.05,A,5,32,1.72,6199.8
799,22.1,D,3,8,1.72,2711.76
800,12.65,B,5,18,1.72,2778.24
801,18.73,D,3,15,1.72,3110.16
802,6.12,AA,3,12,1.72,3786.12
803,16.04,C,3,43,1.72,2387.88
804,30.08,HR,5,32,1.72,3874.08
805,15.18,C,5,18,1.72,2538.12
806,18.99,C,5,20,1.72,2229.48
807,13.25,C,3,28,1.72,6289.44
808,9.86,B,3,31,1.72,5201.4
809,30.92,HR,3,34,1.72,1044.24
810,27.93,E,3,47,1.72,1902
811,29.38,E,5,16,1.72,2033.4
812,29.49,E,5,26,1.72,2155.2
813,19.99,D,5,28,1.72,2034.12
814,30.53,HR,3,35,1.72,3896.4
815,11.36,B,3,21,1.72,5382.48
816,5.9,AA,3,24,1.72,6289.56
817,30.53,HR,3,40,1.72,3845.04
818,17.69,C,3,47,1.72,8759.88
819,16.36,C,3,34,1.72,8415.6
820,14.45,C,5,29,1.72,7208.04
821,25.62,E,3,34,1.72,4874.64
822,9.76,B,5,27,1.72,3892.08
823,30.25,HR,5,24,1.72,2070.72
824,10.68,B,5,27,1.72,1190.28
825,6.51,AA,3,50,1.72,6719.88
826,28.69,HR,3,33,1.72,3805.32
827,7.51,A,3,55,1.72,4546.44
828,6.66,A,3,25,1.72,7483.2
829,22.12,D,3,45,1.72,5086.68
830,7.8,A,3,13,1.72,3804.84
831,9.81,B,3,30,1.72,3134.28
832,11.28,B,3,10,1.72,6002.64
833,15.18,C,5,51,1.72,6344.28
834,12.35,B,3,23,1.72,4678.2
835,7.2,A,3,27,1.72,1885.68
836,9.87,B,5,36,1.72,4705.56
837,5.44,AA,3,25,1.72,7349.16
838,9.1,B,5,19,1.72,3833.28
839,9.09,A,3,13,1.72,4652.52
840,10.54,B,5,22,1.72,3962.28
841,7.51,A,3,11,1.72,4167.48
842,24.55,E,3,29,1.72,4985.28
843,25.99,E,5,31,1.72,3627.24
844,26.99,E,3,43,1.72,4962.96
845,30.25,HR,3,42,1.72,3882.48
846,30.24,E,5,20,1.72,3974.28
847,15.4,C,3,54,1.72,4242.6
848,22.12,D,5,45,1.72,10173.36
849,12.19,B,3,41,1.72,3243.36
850,5.9,AA,3,29,1.72,3555.72
851,8.7,A,5,22,1.72,3038.4
852,20.85,D,5,27,1.72,4573.56
853,8.74,A,3,20,1.72,5786.16
854,6.2,A,3,36,1.72,1858.08
855,13.64,C,5,31,1.72,4138.68
856,12.75,C,3,17,1.72,4086.72
857,16.04,C,5,13,1.72,4477.32
858,23.05,D,5,19,1.72,5183.4
859,4.92,AA,3,17,1.72,2187.72
860,5.76,AA,5,46,1.72,7384.2
861,30.92,HR,3,52,1.72,3915.96
862,9.17,A,3,21,1.72,6948.48
863,30.92,HR,3,56,1.72,3915.96
864,22.1,D,3,34,1.72,11209.92
865,12.19,B,5,28,1.72,4113.12
866,22.1,D,3,28,1.72,4651.44
867,8.35,A,5,16,1.72,3068.4
868,14.93,C,3,36,1.72,4214.64
869,8.66,A,3,16,1.72,3288.48
870,6.36,AA,3,23,1.72,5028.84
871,15.59,C,3,39,1.72,8276.52
872,15.59,C,3,15,1.72,2127
873,17.08,C,3,43,1.72,5211.72
874,25.59,E,3,27,1.72,3634.92
875,8.35,A,5,28,1.72,4771.68
876,27.48,HR,3,16,1.72,3746.16
877,22.99,D,5,14,1.72,5522.28
878,22.99,D,5,31,1.72,1741.68
879,14.72,C,5,37,1.72,4202.28
880,11.64,B,3,12,1.72,4062.48
881,25.99,E,5,16,1.72,2198.16
882,9.05,A,5,14,1.72,3681.12
883,14.8,C,3,18,1.72,4206.96
884,26.34,E,5,54,1.72,7381.44
885,12.65,B,5,18,1.72,4155.72
886,12.19,B,3,12,1.72,4113.12
887,19.43,D,3,12,1.72,7988.4
888,7,A,5,12,1.72,8516.04
889,8.06,A,5,21,1.72,2406.12
890,8.06,A,3,11,1.72,2673.48
891,11.65,B,3,53,1.72,10057.68
892,19.91,D,3,42,1.72,903.12
893,20.85,D,3,17,1.72,3201.48
894,14.05,C,5,16,1.72,4286.88
895,19.43,D,5,9,1.72,2467.32
896,30.53,HR,3,53,1.72,3896.4
897,6.51,AA,3,24,1.72,4479.96
898,20.54,D,3,33,1.72,9848.88
899,25.99,E,3,19,1.72,1224.6
900,25.99,E,5,34,1.72,7347.6
901,30.53,HR,3,25,1.72,3896.4
902,20.61,D,3,32,1.72,6837.96
903,16.61,C,3,54,1.72,3451.92
904,30.92,HR,3,36,1.72,3915.96
905,16.89,C,3,19,1.72,4331.64
906,25.99,E,3,8,1.72,4408.56
907,22.99,D,5,20,1.72,3106.32
908,19.43,D,3,16,1.72,8020.08
909,20.85,D,5,28,1.72,3430.2
910,30.92,HR,3,47,1.72,1566.36
911,6.91,A,5,26,1.72,1942.44
912,17.6,C,3,50,1.72,12248.52
913,7.96,A,3,36,1.72,10297.08
914,11.03,B,3,14,1.72,2938.32
915,18.28,D,3,34,1.72,3131.4
916,9.81,B,3,27,1.72,11361.84
917,30.53,HR,5,24,1.72,3636.72
918,19.91,D,3,19,1.72,8100.84
919,18.73,D,3,23,1.72,11107.8
920,11.64,B,3,20,1.72,3218.04
921,8.38,A,3,24,1.72,3837.24
922,17.15,C,3,57,1.72,6521.04
923,27.71,E,3,39,1.72,4545.48
924,4.32,AA,3,7,1.72,4336.56
925,19.91,D,3,58,1.72,3240.36
926,22.99,D,3,26,1.72,4707.36
927,10.54,B,3,16,1.72,3365.52
928,9.09,A,3,21,1.72,9692.88
929,10.59,B,3,22,1.72,7924.56
930,19.91,D,3,50,1.72,5832.6
931,8.7,A,3,18,1.72,7710.36
932,5.3,AA,3,32,1.72,5500.44
933,30.92,HR,3,29,1.72,3915.96
934,8.7,A,3,26,1.72,6091.2
935,9.09,A,3,29,1.72,10855.92
936,24.99,D,5,41,1.72,2155.32
937,22.99,D,3,19,1.72,4486.92
938,6.51,AA,3,16,1.72,5599.92
939,24.08,E,3,37,1.72,7164.36
940,17.61,D,3,35,1.72,1750.08
941,6.9,A,5,40,1.72,9612.36
942,18.99,C,3,30,1.72,6688.56
943,27.8,E,3,47,1.72,2507.76
944,26.2,E,3,41,1.72,3438.36
945,6.36,AA,3,46,1.72,7450.08
946,8.35,A,5,15,1.72,8790
947,9.86,B,3,25,1.72,3120.84
948,25.99,E,5,36,1.72,1831.8
949,12.65,B,3,42,1.72,9794.28
950,30.82,HR,3,35,1.72,3910.92
951,9.09,A,3,17,1.72,1550.88
952,23.74,D,3,22,1.72,5705.64
953,11.64,B,5,27,1.72,12067.44
954,25.62,E,3,12,1.72,3637.08
955,11.03,B,3,7,1.72,1993.68
956,10.98,B,5,27,1.72,2789.16
957,9.47,A,3,45,1.72,9746.52
958,6.74,A,3,27,1.72,5619
959,14.72,C,5,36,1.72,6303.36
960,17.08,C,3,29,1.72,3662.88
961,8.7,A,5,18,1.72,1542.12
962,8.74,A,3,8,1.72,633.6
963,8.66,A,3,35,1.72,3467.64
964,11.8,B,3,29,1.72,5436.24
965,13.75,C,3,47,1.72,4145.16
966,11.1,B,5,26,1.72,4013.16
967,18.24,C,5,22,1.72,4693.08
968,18.99,C,5,36,1.72,5350.8
969,30.92,HR,3,8,1.72,3915.96
970,28.74,E,3,22,1.72,1931.64
971,14.45,C,5,10,1.72,6279.48
972,30.25,HR,3,37,1.72,1035.36
973,10.3,B,3,21,1.72,3945.72
974,7.51,A,3,7,1.72,3030.96
975,30.92,HR,3,53,1.72,2088.48
976,14.05,C,3,48,1.72,3915.36
977,11.64,B,5,32,1.72,4022.52
978,24.99,D,3,15,1.72,2417.16
979,11.36,B,3,25,1.72,3229.44
980,23.05,D,3,48,1.72,6911.28
981,12.13,B,3,37,1.72,6886.32
982,8.46,A,5,3,1.72,5035.8
983,30.24,E,5,49,1.72,5176.08
984,7.51,A,3,14,1.72,2708.76
985,30.53,HR,3,30,1.72,3896.4
986,22.99,D,3,14,1.72,9414.6
987,8.06,A,3,26,1.72,5728.92
988,28.74,E,5,41,1.72,7615.68
989,25.62,E,5,19,1.72,4874.64
990,8.06,A,3,30,1.72,9548.28
991,12.19,B,3,36,1.72,10135.68
992,17.15,C,3,39,1.72,4096.44
993,14.15,C,3,29,1.72,3437.04
994,15.01,C,5,14,1.72,843.84
995,23.74,D,5,39,1.72,5705.64
996,5.76,AA,5,20,1.72,5538.12
997,15.29,C,3,18,1.72,847.2
998,20.85,D,3,43,1.72,2744.16
999,8.35,A,5,34,1.72,6903.96
1000,15.59,C,3,43,1.72,4433.88
1001,6.12,AA,3,20,1.72,4454.16
1002,21.48,D,3,24,1.72,1338.84
1003,6.66,A,5,24,1.72,3741.6
1004,15.93,C,5,12,1.72,4466.64
1005,11.59,B,3,22,1.72,2813.76
1006,11.8,B,5,23,1.72,9513.36
1007,5.44,AA,5,14,1.72,1837.32
1008,20.85,D,3,34,1.72,6860.28
1009,19.99,D,3,13,1.72,6491.4
1010,6.2,A,3,10,1.72,1858.08
1011,6.51,AA,3,25,1.72,4479.96
1012,26.99,E,5,33,1.72,3722.28
1013,30.92,HR,5,26,1.72,3915.96
1014,12.19,B,5,49,1.72,2838
1015,18.99,C,3,31,1.72,4767.84
1016,26.99,E,3,30,1.72,3474.12
1017,11.36,B,5,12,1.72,2003.16
1018,19.99,D,5,21,1.72,3894.84
1019,5.9,AA,3,35,1.72,2219.88
1020,10.59,B,3,38,1.72,7924.56
1021,26.04,E,3,23,1.72,7352.4
1022,6.12,AA,3,27,1.72,5567.76
1023,12.19,B,3,29,1.72,6081.36
1024,9.49,B,3,6,1.72,3899.76
1025,19.91,D,3,23,1.72,6480.72
1026,5.44,AA,3,27,1.72,3674.64
1027,13.8,C,3,24,1.72,5314.92
1028,6.5,A,5,18,1.72,1866.36
1029,30.25,HR,5,46,1.72,1035.36
1030,14.15,C,3,19,1.72,1917.6
1031,4.32,AA,3,27,1.72,5420.64
1032,4.32,AA,3,21,1.72,2168.28
1033,5.3,AA,5,19,1.72,6600.48
1034,12.19,B,3,36,1.72,4113.12
1035,26.75,HR,5,26,1.72,3710.52
1036,11.64,B,3,23,1.72,3218.04
1037,20.61,D,3,19,1.72,2005.8
1038,19.91,D,3,55,1.72,5418.6
1039,9.49,B,5,21,1.72,2729.76
1040,6.12,AA,3,20,1.72,5567.76
1041,6.9,A,3,15,1.72,1727.28
1042,17.61,D,3,35,1.72,875.04
1043,12.15,B,3,27,1.72,1620.72
1044,25.62,E,3,17,1.72,5455.56
1045,16.61,C,3,24,1.72,4532.76
1046,9.47,A,3,14,1.72,4678.32
1047,12.19,B,3,25,1.72,3290.52
1048,19.91,D,3,5,1.72,6480.72
1049,18.99,C,3,13,1.72,6007.56
1050,8.66,A,3,26,1.72,4045.56
1051,6.66,A,3,26,1.72,935.4
1052,13.69,C,5,32,1.72,12383.52
1053,18.99,C,3,25,1.72,2229.48
1054,10.7,B,3,44,1.72,2778
1055,25.99,E,3,18,1.72,3428.88
1056,9.49,B,5,18,1.72,3899.76
1057,9.81,B,5,22,1.72,4113.72
1058,28.03,HR,3,31,1.72,3773.04
1059,11.36,B,3,30,1.72,14022.36
1060,30.25,HR,3,18,1.72,3882.48
1061,8.66,A,3,43,1.72,8091.12
1062,12.65,B,5,44,1.72,2040.48
1063,4.32,AA,5,25,1.72,2529.6
1064,15.18,C,3,13,1.72,2114.76
1065,6.91,A,3,49,1.72,7510.8
1066,17.43,C,3,49,1.72,10910.52
1067,24.74,D,3,62,1.72,7227.36
1068,13.69,C,3,35,1.72,2174.4
1069,30.25,HR,5,25,1.72,1035.36
1070,9.47,A,3,33,1.72,7797.24
1071,27.8,E,5,5,1.72,3794.4
1072,6.12,AA,3,15,1.72,2524.08
1073,14.69,C,3,20,1.72,2898.48
1074,14.15,C,5,18,1.72,5728.44
1075,30.92,HR,3,17,1.72,2610.6
1076,11.85,B,3,18,1.72,5442.36
1077,30.25,HR,3,18,1.72,3882.48
1078,14.8,C,3,41,1.72,14724.48
1079,7.96,A,3,17,1.72,3813.72
1080,5.6,AA,3,30,1.72,3683.4
1081,16.22,C,5,25,1.72,6951.96
1082,16.45,C,5,22,1.72,10763.16
1083,21.42,D,5,52,1.72,3677.28
1084,8.7,A,5,14,1.72,3855.24
1085,8.8,A,5,21,1.72,9651.96
1086,23.21,E,3,34,1.72,5200.2
1087,25.99,E,3,33,1.72,3663.48
1088,20.85,D,3,37,1.72,6860.28
1089,27.8,E,3,22,1.72,5015.64
1090,14.43,C,3,24,1.72,3766.68
1091,10.3,B,3,16,1.72,1578.24
1092,9.05,A,5,27,1.72,5743.32
1093,29.49,E,3,49,1.72,6151.68
1094,30.82,HR,5,32,1.72,2346.6
1095,23.99,D,5,67,1.72,9541.08
1096,9.87,B,5,32,1.72,3901.92
1097,13.8,C,3,14,1.72,4148.04
1098,9.05,A,5,27,1.72,4467
1099,6.66,A,3,12,1.72,1870.8
1100,13.25,C,3,23,1.72,3292.68
1101,13.64,C,3,24,1.72,4138.68
1102,15.93,C,3,13,1.72,2137.08
1103,16.04,C,3,22,1.72,6421.08
1104,27.71,E,3,35,1.72,7514.64
1105,23.74,D,3,17,1.72,7132.08
1106,19.99,D,3,33,1.72,9088.08
1107,18.81,C,3,18,1.72,2533.32
1108,8.66,A,3,25,1.72,1155.84
1109,9.49,B,3,36,1.72,5849.64
1110,8.06,A,5,28,1.72,4201.2
1111,10.7,B,3,28,1.72,12699.36
1112,7.51,A,3,35,1.72,5682.96
1113,5.9,AA,3,19,1.72,3181.8
1114,12.13,B,5,31,1.72,4107.6
1115,20.85,D,3,9,1.72,1652.04
1116,6.9,A,5,31,1.72,13141.92
1117,27.8,E,3,20,1.72,4553.28
1118,17.08,C,3,42,1.72,3510.36
1119,16.55,C,5,11,1.72,6035.88
1120,30.92,HR,3,26,1.72,1044.24
1121,15.77,C,3,26,1.72,4264.56
1122,29.49,E,3,33,1.72,2351.16
1123,16.45,C,3,31,1.72,993.72
1124,22.05,D,3,22,1.72,4063.56
1125,11.65,B,3,15,1.72,4023.12
1126,18.28,D,3,28,1.72,3131.4
1127,15.18,C,5,22,1.72,2960.64
1128,30.25,HR,3,42,1.72,3882.48
1129,11.28,B,3,20,1.72,2955
1130,16.45,C,3,17,1.72,2583.12
1131,8.06,A,3,16,1.72,1718.64
1132,12.19,B,3,43,1.72,4054.32
1133,9.09,A,3,8,1.72,1550.88
1134,7.96,A,3,30,1.72,7627.44
1135,19.95,D,3,22,1.72,4517.88
1136,6.91,A,3,25,1.72,938.88
1137,26.99,E,3,23,1.72,992.64
1138,30.92,HR,3,42,1.72,3915.96
1139,14.45,C,3,4,1.72,2883.24
1140,22.12,D,3,31,1.72,6104.04
1141,9.09,A,3,14,1.72,1938.6
1142,20.66,D,3,23,1.72,4561.8
1143,16.61,C,3,32,1.72,6472.32
1144,25.62,E,5,41,1.72,3899.64
1145,22.1,D,3,26,1.72,5084.64
1146,30.92,HR,3,19,1.72,3915.96
1147,15.29,C,3,19,1.72,2936.64
1148,10.68,B,3,19,1.72,3975
1149,7.8,A,5,44,1.72,8370.6
1150,8.38,A,5,29,1.72,3837.24
1151,11.1,B,3,46,1.72,5987.16
1152,6.91,A,3,22,1.72,7510.8
1153,23.21,E,3,34,1.72,7081.8
1154,21.42,D,3,20,1.72,8296.2
1155,6.36,AA,3,12,1.72,3235.44
1156,10.3,B,3,32,1.72,3945.72
1157,12.15,B,3,22,1.72,2025.96
1158,9.81,B,3,30,1.72,13712.52
1159,18.47,D,5,26,1.72,4427.28
1160,11.03,B,5,45,1.72,4011.72
1161,8.66,A,3,39,1.72,7705.92
1162,6.2,A,3,14,1.72,2601.36
1163,6.91,A,3,33,1.72,3755.4
1164,17.15,C,3,27,1.72,5216.76
1165,5.9,AA,3,29,1.72,7399.56
1166,27.15,E,5,42,1.72,4973.4
1167,22.44,E,3,17,1.72,4672.68
1168,28.74,E,3,38,1.72,2690.88
1169,23.74,D,3,52,1.72,7007.76
1170,10.2,B,3,23,1.72,5910
1171,6.51,AA,3,14,1.72,3360
1172,10.15,B,3,25,1.72,3898.2
1173,27.8,E,3,30,1.72,3510.96
1174,11.28,B,5,20,1.72,4029.48
1175,18.24,C,3,37,1.72,5516.64
1176,30.53,HR,3,37,1.72,3896.4
1177,23.74,D,3,43,1.72,1545.24
1178,13.64,C,3,43,1.72,4138.68
1179,8.7,A,3,16,1.72,5011.68
1180,30.92,HR,3,21,1.72,3654.84
1181,8.66,A,3,20,1.72,6324
1182,6.36,AA,5,18,1.72,1490.04
1183,18.73,D,5,30,1.72,4109.64
1184,10.59,B,3,24,1.72,3702.36
1185,6.51,AA,3,45,1.72,7466.64
1186,13.14,C,3,10,1.72,4109.52
1187,16.55,C,5,42,1.72,10778.16
1188,5.13,AA,3,6,1.72,5486.52
1189,23.74,D,3,50,1.72,3328.68
1190,20.66,D,3,63,1.72,5474.16
1191,8.66,A,3,14,1.72,1926.48
1192,14.15,C,5,47,1.72,8337.36
1193,9.09,A,3,13,1.72,766.44
1194,6.66,A,3,15,1.72,2993.28
1195,17.69,C,5,23,1.72,4638.6
1196,18.73,D,3,16,1.72,6954.84
1197,7.96,A,3,20,1.72,5720.64
1198,9.24,A,3,23,1.72,11656.8
1199,7.51,A,3,20,1.72,8335.08
1200,16.36,C,3,34,1.72,4299.84
1201,11.1,B,5,24,1.72,4013.16
1202,22.1,D,5,43,1.72,7118.52
1203,11.64,B,5,34,1.72,4827
1204,7.2,A,3,23,1.72,7822.92
1205,10.59,B,3,21,1.72,3169.8
1206,6.51,AA,3,27,1.72,5599.92
1207,21.42,D,3,44,1.72,6685.92
1208,28.03,HR,3,46,1.72,3773.04
1209,6.12,AA,3,20,1.72,3711.84
1210,24.74,D,5,32,1.72,10115.52
1211,15.93,C,3,15,1.72,1709.64
1212,29.88,HR,3,59,1.72,3864.12
1213,15.4,C,3,21,1.72,2927.4
1214,18.73,D,3,31,1.72,6322.56
1215,26.99,E,3,25,1.72,5603.4
1216,29.38,E,5,51,1.72,5119.2
1217,11.3,B,3,21,1.72,800.64
1218,5,AA,3,30,1.72,8761.56
1219,22.99,D,3,22,1.72,2589
1220,30.92,HR,3,37,1.72,3915.96
1221,11.36,B,5,16,1.72,3205.08
1222,9.76,B,5,24,1.72,3915
1223,16.89,C,5,10,1.72,4560
1224,6.12,AA,5,19,1.72,816.6
1225,6.91,A,3,30,1.72,2628.72
1226,9.76,B,5,17,1.72,2172.84
1227,8.7,A,5,13,1.72,5782.8
1228,12.19,B,3,33,1.72,2838
1229,18.28,D,3,33,1.72,4415.76
1230,30.82,HR,3,36,1.72,3910.92
1231,30.24,E,3,17,1.72,5961.48
1232,28.74,E,5,26,1.72,3863.28
1233,9.49,B,3,30,1.72,5415.24
1234,22.99,D,3,49,1.72,3295.08
1235,21.42,D,5,22,1.72,4608.96
1236,7.7,A,5,28,1.72,4947.12
1237,19.95,D,3,31,1.72,6486
1238,13.25,C,3,33,1.72,4115.88
1239,8.74,A,3,18,1.72,5786.16
1240,17.15,C,3,19,1.72,6114
1241,14.93,C,5,24,1.72,1475.16
1242,12.35,B,5,22,1.72,1926.36
1243,26.99,E,3,32,1.72,4962.96
1244,5.9,AA,5,33,1.72,2589.84
1245,9.49,B,3,14,1.72,3899.76
1246,14.72,C,3,31,1.72,4350.48
1247,28.56,E,5,48,1.72,5775
1248,5.44,AA,3,17,1.72,734.88
1249,22.99,D,3,52,1.72,6902.88
1250,10.3,B,3,12,1.72,3945.72
1251,9.1,B,3,13,1.72,2326.56
1252,17.43,C,3,39,1.72,4613.04
1253,23.74,D,5,15,1.72,3803.76
1254,10.59,B,5,17,1.72,1586.76
1255,16.36,C,5,29,1.72,3005.64
1256,12.65,B,3,50,1.72,7141.68
1257,12.19,B,5,51,1.72,810.84
1258,6.91,A,3,21,1.72,6759.72
1259,23.05,D,5,10,1.72,8639.04
1260,9.86,B,5,12,1.72,2156.4
1261,24.99,D,3,20,1.72,7184.28
1262,5.9,AA,3,13,1.72,4939.2
1263,22.99,D,3,50,1.72,9414.6
1264,9.49,B,5,23,1.72,4679.64
1265,10.68,B,3,11,1.72,2182.08
1266,15.4,C,3,38,1.72,10606.44
1267,12.15,B,3,50,1.72,4051.92
1268,30.92,HR,3,19,1.72,3915.96
1269,30.92,HR,3,21,1.72,3915.96
1270,8.7,A,3,6,1.72,3798
1271,6.12,AA,3,36,1.72,2598.24
1272,10.3,B,3,46,1.72,1972.8
1273,10.59,B,3,25,1.72,2377.32
1274,20.61,D,5,26,1.72,4558.68
1275,4.32,AA,3,11,1.72,4336.56
1276,8.06,A,3,20,1.72,5728.92
1277,12.19,B,3,12,1.72,1919.4
1278,19.91,D,3,31,1.72,2257.68
1279,26.95,E,3,40,1.72,5598.96
1280,19.43,D,3,39,1.72,7057.68
1281,20.66,D,3,21,1.72,3949.32
1282,8.7,A,3,15,1.72,3276.96
1283,30.92,HR,3,13,1.72,3915.96
1284,24.74,D,5,55,1.72,7148.76
1285,16.35,C,5,33,1.72,8598.48
1286,5.13,AA,5,16,1.72,5486.52
1287,5.9,AA,5,40,1.72,12949.2
1288,26.95,E,3,17,1.72,4960.44
1289,9.09,A,3,13,1.72,1356.96
1290,8.35,A,3,15,1.72,1917.72
1291,5.76,AA,3,31,1.72,4430.52
1292,5.9,AA,5,12,1.72,3699.72
1293,7.8,A,3,10,1.72,4565.76
1294,4.7,AA,5,12,1.72,1272
1295,26.75,HR,3,31,1.72,3710.52
1296,6.12,AA,3,25,1.72,5567.76
1297,6.91,A,3,20,1.72,3379.8
1298,22.99,D,3,41,1.72,9414.6
1299,27.71,E,3,21,1.72,3787.92
1300,16.89,C,3,10,1.72,6992.04
1301,7.2,A,3,18,1.72,4865.16
1302,4.32,AA,3,13,1.72,5420.64
1303,24.08,E,3,49,1.72,5291.64
1304,30.25,HR,3,44,1.72,3882.48
1305,12.65,B,3,19,1.72,5713.32
1306,5.76,AA,3,25,1.72,5538.12
1307,22.99,D,5,41,1.72,1882.92
1308,8.66,A,3,20,1.72,2311.8
